Name;URL;Pattern;Difficulty;Premium;Companies
Swap Nodes in Pairs;https://leetcode.com/problems/swap-nodes-in-pairs/;In-place reversal of a linked list,In-place reversal of a linked list;Medium;false;Facebook,Amazon,Microsoft,Microsoft
Odd Even Linked List;https://leetcode.com/problems/odd-even-linked-list/;In-place reversal of a linked list,In-place reversal of a linked list;Medium;false;Facebook,Microsoft,Bloomberg,Amazon,Adobe,Apple,Apple
Longest Word in Dictionary;https://leetcode.com/problems/longest-word-in-dictionary/;Trie,Trie;Medium;false;Google,Google
Target Sum;https://leetcode.com/problems/target-sum/;DFS,DFS,Dynamic Programming,Dynamic Programming;Medium;false;Facebook,Amazon,Microsoft,Adobe,Adobe
Kth Smallest Element in a Sorted Matrix;https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix/;Binary Search,Binary Search,Heap,Heap;Medium;false;Facebook,Amazon,Microsoft,Bloomberg,Bloomberg
Find K Pairs with Smallest Sums;https://leetcode.com/problems/find-k-pairs-with-smallest-sums/;Heap,Heap;Medium;false;LinkedIn,Microsoft,Apple,Apple
Container With Most Water;https://leetcode.com/problems/container-with-most-water/;Two Pointers,Two Pointers;Medium;false;Amazon,Microsoft,Google,Adobe,Bloomberg,Apple,Uber,Facebook,Facebook
Sort Colours;https://leetcode.com/problems/sort-colors/;Two Pointers,Two Pointers;Medium;false;Microsoft,Amazon,Adobe,Facebook,Apple,Salesforce,Bloomberg,Bloomberg
Generate Parentheses;https://leetcode.com/problems/generate-parentheses/;Backtracking,Backtracking;Medium;false;Amazon,Facebook,Microsoft,Apple,Bloomberg,Adobe,Uber,Google,Goldman Sachs,Goldman Sachs
Merge Intervals;https://leetcode.com/problems/merge-intervals/;Intervals,Intervals;Medium;false;Amazon,Facebook,Microsoft,Salesforce,Google,Uber,Bloomberg,Adobe,Apple,LinkedIn,Twitter,Oracle,JPMorgan,Snapchat,Snapchat
Interval List Intersections;https://leetcode.com/problems/interval-list-intersections/;Intervals,Intervals;Medium;false;Facebook,Uber,Google,Google
Non-overlapping Intervals;https://leetcode.com/problems/non-overlapping-intervals/;Intervals,Intervals;Medium;false;Amazon,Facebook,Oracle,Oracle
Meeting Rooms II;https://leetcode.com/problems/meeting-rooms-ii/;Heap,Heap,Intervals,Intervals;Medium;true;Amazon,Facebook,Bloomberg,Microsoft,Google,Oracle,Uber,Twitter,Snapchat,Qualtrics,Adobe,Quora,Goldman Sachs,Goldman Sachs
Task Scheduler;https://leetcode.com/problems/task-scheduler/;Greedy,Greedy,Heap,Heap;Medium;false;Facebook,Google,Uber,Amazon,Microsoft,Salesforce,Salesforce
Minimum Number of Arrows to Burst Balloons;https://leetcode.com/problems/minimum-number-of-arrows-to-burst-balloons/;Greedy,Greedy;Medium;false;Apple,Apple
Insert Interval;https://leetcode.com/problems/insert-interval/;Intervals,Intervals;Medium;false;Amazon,Google,Facebook,LinkedIn,Microsoft,Twitter,Citadel,Citadel
Subarrays with Product Less than K;https://leetcode.com/problems/subarray-product-less-than-k/;Two Pointers,Two Pointers;Medium;false;LinkedIn,Amazon,Microsoft,Microsoft
Path Sum III;https://leetcode.com/problems/path-sum-iii/;DFS,DFS;Medium;false;Microsoft,Facebook,Google,Oracle,Oracle
Combination Sum II;https://leetcode.com/problems/combination-sum-ii/;Backtracking,Backtracking;Medium;false;Facebook,Amazon,Amazon
Combination Sum;https://leetcode.com/problems/combination-sum/;Backtracking,Backtracking;Medium;false;Facebook,Amazon,Airbnb,Apple,Adobe,Microsoft,LinkedIn,Goldman Sachs,Snapchat,Salesforce,Salesforce
Find Minimum in Rotated Sorted Array;https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/;Binary Search,Binary Search;Medium;false;Facebook,Microsoft,Amazon,Bloomberg,Uber,Adobe,Apple,Apple
Find Peak Element;https://leetcode.com/problems/find-peak-element/;Binary Search,Binary Search;Medium;false;Facebook,Amazon,Uber,Google,Microsoft,Microsoft
Search in Rotated Sorted Array;https://leetcode.com/problems/search-in-rotated-sorted-array/;Binary Search,Binary Search;Medium;false;Microsoft,Amazon,LinkedIn,Facebook,Bloomberg,Adobe,Apple,Goldman Sachs,Oracle,Uber,Morgan Stanley,Morgan Stanley
Search in Rotated Sorted Array II;https://leetcode.com/problems/search-in-rotated-sorted-array-ii/;Binary Search,Binary Search;Medium;false;LinkedIn,Amazon,Facebook,Microsoft,Microsoft
Search a 2D Matrix;https://leetcode.com/problems/search-a-2d-matrix/;Binary Search,Binary Search;Medium;false;Amazon,Facebook,Bloomberg,Microsoft,Uber,Google,Apple,Apple
Search a 2D Matrix II;https://leetcode.com/problems/search-a-2d-matrix-ii/;Binary Search,Binary Search;Medium;false;Microsoft,Amazon,Facebook,Apple,Uber,Uber
Find K Closest Elements;https://leetcode.com/problems/find-k-closest-elements/;Binary Search,Binary Search;Medium;false;Facebook,Amazon,Google,Uber,Microsoft,Bloomberg,Bloomberg
3 Sum Closest;https://leetcode.com/problems/3sum-closest/;Two Pointers,Two Pointers;Medium;false;Facebook,Amazon,Capital One,Apple,Google,Adobe,Microsoft,Oracle,Oracle
Minimum Size Subarray Sum;https://leetcode.com/problems/minimum-size-subarray-sum/;Sliding Window,Sliding Window;Medium;false;Goldman Sachs,Facebook,Amazon,Google,Google
Fruit Into Baskets;https://leetcode.com/problems/fruit-into-baskets/;Sliding Window,Sliding Window;Medium;false;Amazon,Amazon
Permutation in String;https://leetcode.com/problems/permutation-in-string/;Sliding Window,Sliding Window;Medium;false;Oracle,Facebook,Facebook
Longest Repeating Character Replacement;https://leetcode.com/problems/longest-repeating-character-replacement/;Sliding Window,Sliding Window;Medium;false;Facebook,Uber,Amazon,Adobe,Adobe
3 Sum;https://leetcode.com/problems/3sum/;Two Pointers,Two Pointers;Medium;false;Amazon,Facebook,Apple,Microsoft,Adobe,Google,Bloomberg,Intuit,Qualtrics,Salesforce,Goldman Sachs,Uber,Oracle,Oracle
Longest Substring Without Repeating Characters;https://leetcode.com/problems/longest-substring-without-repeating-characters/;Sliding Window,Sliding Window;Medium;false;Amazon,Microsoft,Bloomberg,Facebook,Adobe,Google,Apple,Uber,Goldman Sachs,Goldman Sachs
Combinations;https://leetcode.com/problems/combinations/;Backtracking,Backtracking;Medium;false;Google,Facebook,Amazon,Amazon
Permutations II;https://leetcode.com/problems/permutations-ii/;Backtracking,Backtracking;Medium;false;LinkedIn,Facebook,Amazon,Adobe,Apple,Apple
Permutations;https://leetcode.com/problems/permutations/;Backtracking,Backtracking;Medium;false;Amazon,Facebook,LinkedIn,Bloomberg,Google,Microsoft,Adobe,Apple,Oracle,Oracle
Subsets II;https://leetcode.com/problems/subsets-ii/;Backtracking,Backtracking;Medium;false;Facebook,Amazon,Bloomberg,Bloomberg
Kth Smallest Element in a BST;https://leetcode.com/problems/kth-smallest-element-in-a-bst/;DFS,DFS;Medium;false;Amazon,Facebook,Facebook
K Closest Points to Origin;https://leetcode.com/problems/k-closest-points-to-origin/;Heap,Heap;Medium;false;Facebook,Amazon,LinkedIn,Google,Asana,Asana
Top K Frequent Elements;https://leetcode.com/problems/top-k-frequent-elements/;Heap,Heap;Medium;false;Facebook,Amazon,Bloomberg,Microsoft,Uber,Apple,Google,Adobe,Snapchat,Oracle,LinkedIn,LinkedIn
Sort Characters By Frequency;https://leetcode.com/problems/sort-characters-by-frequency/;Heap,Heap;Medium;false;Amazon,Bloomberg,Facebook,Facebook
Kth Largest Element in an Array;https://leetcode.com/problems/kth-largest-element-in-an-array/;Heap,Heap,QuickSelect,QuickSelect;Medium;false;Facebook,Amazon,LinkedIn,Microsoft,Google,Goldman Sachs,Uber,Oracle,Oracle
